city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
lahore,59.5 Crore,"DHA Phase 6, DHA Defence",5.0,6.0,5 Kanal,D H A Lahore 5 Kanal Brand New Faisal Rasool Stylish House Fully Furnished With 100% Original Pics Available For Sale,595000000.0,100.0,DHA Phase 6,DHA Defence,5950000.0
lahore,21 Crore,"DHA Phase 2, DHA Defence",6.0,6.0,2 Kanal,D H A Lahore 2 Kanal Brand New Faisal Rasool Stylish House And Full Furnished With 100% Original Pics Available For Sale,210000000.0,40.0,DHA Phase 2,DHA Defence,5250000.0
lahore,5.5 Crore,"Lake City - Sector M-3, Lake City",6.0,6.0,10 Marla,A Graceful And Beautiful 10-Marla Dream Home In Lake City,55000000.0,10.0,Lake City - Sector M-3,Lake City,5500000.0
lahore,1.9 Crore,"AWT Phase 2 - Block F, AWT Phase 2",2.0,3.0,10 Marla,10 Marla Single Story Grey Structure House Is For Sale In Awt phase 2 Block F,19000000.0,10.0,AWT Phase 2 - Block F,AWT Phase 2,1900000.0
lahore,9.25 Crore,"EME Society - Block D, EME Society",5.0,6.0,1 Kanal,This Is Your Chance To Buy House In Lahore,92500000.0,20.0,EME Society - Block D,EME Society,4625000.0
lahore,10.5 Crore,"DHA Phase 6 - Block K, DHA Phase 6",6.0,7.0,1 Kanal,KANAL FULL FURNISHED EYE CATCHING SUPERB LUXURY BUNGALOW FOR SALE,105000000.0,20.0,DHA Phase 6 - Block K,DHA Phase 6,5250000.0
lahore,1.2 Crore,"Park View City - Overseas Block, Park View City",2.0,2.0,5 Marla,"Prime Location 5 Marla Single Story House for Sale in Overseas Block, Park View City Lahore",12000000.0,5.0,Park View City - Overseas Block,Park View City,2400000.0
lahore,1.2 Crore,"Bahria Town - Sector E, Bahria Town",2.0,2.0,3.3 Marla,2 Beds Apartment For Sale On One Year Instalments In Sector E Bahria Town Lahore,12000000.0,3.3,Bahria Town - Sector E,Bahria Town,3636363.64
lahore,28 Crore,"Alla-ud-Din Road, Cantt",5.0,5.0,3 Kanal,For Sale 2.8 Kanal house Allaudin Road Lahore Cantt - 10 crore per kanal,280000000.0,60.0,Alla-ud-Din Road,Cantt,4666666.67
lahore,3.7 Crore,"Central Park Housing Scheme, Lahore",5.0,6.0,10 Marla,"10 Marla Brand New Modern Elevation House with 3 Car Parking Near Park, Mosque, LGS School, Hospital for Sale in Central Park Housing Scheme Lahore",37000000.0,10.0,Central Park Housing Scheme,Lahore,3700000.0
