city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
islamabad,13.75 Crore,"DHA Defence Phase 2, DHA Defence",6.0,6.0,1 Kanal,One Kanal Brand New Home For Sale In Dha II Islamabad,137500000.0,20.0,DHA Defence Phase 2,DHA Defence,6875000.0
islamabad,6.25 Crore,"Top City 1 - Block A, Top City 1",7.0,6.0,1 Kanal,Corner 14 Marla House Up For sale In Top City 1 - Block A,62500000.0,20.0,Top City 1 - Block A,Top City 1,3125000.0
islamabad,5.3 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",5.0,6.0,10 Marla,10 Marla Ultra Design HOUSE,53000000.0,10.0,MPCHS - Block C1,MPCHS - Multi Gardens,5300000.0
islamabad,3.2 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",4.0,5.0,8 Marla,7 Marla Luxury House for Sale in B-17 C1 | Full House Tour,32000000.0,8.0,MPCHS - Block C1,MPCHS - Multi Gardens,4000000.0
islamabad,35 Crore,"Gulberg Greens, Gulberg",9.0,7.0,5 Kanal,Luxurious Farm House For Sale,350000000.0,100.0,Gulberg Greens,Gulberg,3500000.0
islamabad,3.75 Crore,"DHA Phase 1 - Sector F, DHA Defence Phase 1",3.0,4.0,11 Marla,11 Marla Defenes Villa Available For Sale,37500000.0,11.0,DHA Phase 1 - Sector F,DHA Defence Phase 1,3409090.91
islamabad,1.8 Crore,"Top City 1, Islamabad",1.0,1.0,4.3 Marla,Top Luxury Apartments 1 Bed Available Forsale,18000000.0,4.3,Top City 1,Islamabad,4186046.51
islamabad,4.4 Crore,"Top City 1 - Block D, Top City 1",5.0,6.0,10 Marla,Beautiful Designer House Available For sale,44000000.0,10.0,Top City 1 - Block D,Top City 1,4400000.0
islamabad,3.6 Crore,"D-17, Islamabad",6.0,6.0,9.3 Marla,Gorgeous 2100 Sq Feet House For Sale In D-17 Islamabad,36000000.0,9.3,D-17,Islamabad,3870967.74
islamabad,1.6 Crore,"The Royal Mall and Residency, Bahria Enclave",2.0,2.0,5.6 Marla,Bahria Enclave Sector C Royal Mall & Residency Two Bedroom Furnished Apartment For Sale Residential Building Close to Main Gate,16000000.0,5.6,The Royal Mall and Residency,Bahria Enclave,2857142.86
islamabad,3.25 Crore,"Soan Garden - Block A, Soan Garden",3.0,4.0,12 Marla,12 MARLA SINGLE STOREY HOUSE FOR SALE | 0KM DISTANCE TO HIGHWAY,32500000.0,12.0,Soan Garden - Block A,Soan Garden,2708333.33
islamabad,4 Crore,"Soan Garden - Block B, Soan Garden",6.0,6.0,10 Marla,10 MARLA DOUBLE STOREY HOUSE FOR SALE IN B BLOCK | PRIME LOCATION,40000000.0,10.0,Soan Garden - Block B,Soan Garden,4000000.0
islamabad,35 Lakh,"Marwa Town, Islamabad",2.0,3.0,3 Marla,3 Marla House 35 Lack Registery Intiqal,3500000.0,3.0,Marwa Town,Islamabad,1166666.67
islamabad,90 Lakh,"Faisal Hills - Block A, Faisal Hills",1.0,1.0,3.2 Marla,1 Bed Luxury Apartment Faisal Hills Near Faisal Hills ARC Monoment,9000000.0,3.2,Faisal Hills - Block A,Faisal Hills,2812500.0
islamabad,55.95 Lakh,"Faisal Hills - Executive Block, Faisal Hills",1.0,1.0,1.7 Marla,1 Bed Apartment For Sale In Executive Hillwalk Faisal Hills,5595000.0,1.7,Faisal Hills - Executive Block,Faisal Hills,3291176.47
islamabad,3.4 Crore,"Islamabad Highway, Islamabad",6.0,5.0,7 Marla,7 Marla Brand New House For Sale In Islamabad Jinnah Garden Nearby Islamabad Highway Pakistan,34000000.0,7.0,Islamabad Highway,Islamabad,4857142.86
islamabad,2.28 Crore,"Faisal Hills - Block C, Faisal Hills",4.0,4.0,5 Marla,5 Marla Faisal Hills Block C House On Instalment,22799999.999999996,5.0,Faisal Hills - Block C,Faisal Hills,4560000.0
islamabad,2.4 Crore,"Islamabad Highway, Islamabad",5.0,5.0,5 Marla,5 Marla House For Sale In Islamabad Pakistan Jinnah Garden Beautiful House For Sale CDA Approved,24000000.0,5.0,Islamabad Highway,Islamabad,4800000.0
islamabad,2.5 Crore,"I-14/1, I-14",4.0,5.0,5 Marla,5 Marla Brand New House,25000000.0,5.0,I-14/1,I-14,5000000.0
islamabad,3 Crore,"I-14/1, I-14",4.0,5.0,6 Marla,6marla Ideally Located House,30000000.0,6.0,I-14/1,I-14,5000000.0
islamabad,3.4 Crore,"G-13, Islamabad",5.0,5.0,4 Marla,2540 Sun Facing proper double unit House for Sale G-13/4,34000000.0,4.0,G-13,Islamabad,8500000.0
islamabad,4.3 Crore,"D-12/4, D-12",4.0,4.0,4 Marla,4 Marla Prime Location House For Sale,43000000.0,4.0,D-12/4,D-12,10750000.0
islamabad,2.8 Crore,"Bahria Enclave - Sector B1, Bahria Enclave",3.0,4.0,6 Marla,6 Marla Double Unit House With 2 Separate Kitchen Available For Sale In Sector B1,28000000.0,6.0,Bahria Enclave - Sector B1,Bahria Enclave,4666666.67
islamabad,4.95 Crore,"Top City 1 - Block D, Top City 1",5.0,6.0,10 Marla,"10 Marla Luxurious Brand New House Avialable For Sale, In Block-D, TopCity-1, Islamabad",49500000.0,10.0,Top City 1 - Block D,Top City 1,4950000.0
islamabad,14.5 Crore,"Faisal Town Phase 1 - Block A, Faisal Town Phase 1",11.0,6.0,1 Kanal,ONE KANAL MAIN DOUBLE ROAD MODREN HOUSE FOR SALE AT PRIME LOCATION,145000000.0,20.0,Faisal Town Phase 1 - Block A,Faisal Town Phase 1,7250000.0
islamabad,5.5 Crore,"Bahria Enclave - Sector C1, Bahria Enclave",5.0,6.0,10 Marla,Brand New Designer House For Sale In Sector C1 A+Construction Main Boulevard Best Location For Living Bahria Enclave Islamabad,55000000.0,10.0,Bahria Enclave - Sector C1,Bahria Enclave,5500000.0
islamabad,3.75 Crore,"CBR Town, Islamabad",5.0,6.0,8 Marla,7 Marla Double Storey House Available For Sale In Cbr Town,37500000.0,8.0,CBR Town,Islamabad,4687500.0
islamabad,1.4 Arab,"F-6/2, F-6",11.0,7.0,5 Kanal,5 KANAL TOW SIDE OPEN DOUBLE STORY HOUSE F-6/2 ISLAMABAD,1400000000.0,100.0,F-6/2,F-6,14000000.0
islamabad,2.7 Crore,"Jinnah Gardens, FECHS",4.0,7.0,5 Marla,CDA Approved | Lop Clear | 5 Marla Brand New House For Sale in Jinnah Garden,27000000.0,5.0,Jinnah Gardens,FECHS,5400000.0
islamabad,4.6 Crore,"F-11, Islamabad",3.0,3.0,10.7 Marla,3 Bed Margalla View Flat For Sale In F11,46000000.0,10.7,F-11,Islamabad,4299065.42
islamabad,5.3 Crore,"Korang Town, Islamabad",3.0,3.0,1.2 Kanal,Avail Yourself A Great Prime Location 24 Marla House In Korang Town,53000000.0,24.0,Korang Town,Islamabad,2208333.33
islamabad,2.25 Crore,"Bahria Enclave - Sector N, Bahria Enclave",3.0,4.0,5 Marla,Sector N 5 Marla House For Sale,22500000.0,5.0,Bahria Enclave - Sector N,Bahria Enclave,4500000.0
islamabad,16 Crore,"D-12/1, D-12",6.0,6.0,14 Marla,40*80 House Prime Location,160000000.0,14.0,D-12/1,D-12,11428571.43
islamabad,75 Lakh,"Marwa Town, Islamabad",2.0,2.0,5 Marla,5 Marla Grey Structure For Sale Registry Intiqal,7500000.0,5.0,Marwa Town,Islamabad,1500000.0
islamabad,7.5 Crore,"Soan Garden - Block H, Soan Garden",8.0,6.0,1 Kanal,1 KANAL LUXURIS BRAND NEW DOUBLE UNIT HOUSE FOR SALE | 40Ft WIDE ROAD,75000000.0,20.0,Soan Garden - Block H,Soan Garden,3750000.0
islamabad,4.75 Crore,"Top City 1 - Block A, Top City 1",5.0,6.0,10 Marla,Buying A House In Islamabad?,47500000.0,10.0,Top City 1 - Block A,Top City 1,4750000.0
islamabad,6.2 Crore,"Bahria Enclave - Sector A, Bahria Enclave",5.0,7.0,10 Marla,10 Marla Ultra Luxury House available for sale,62000000.0,10.0,Bahria Enclave - Sector A,Bahria Enclave,6200000.0
islamabad,3 Crore,"MPCHS - Block C1, MPCHS - Multi Gardens",4.0,4.0,5 Marla,House For Grabs In 5 Marla Islamabad,30000000.0,5.0,MPCHS - Block C1,MPCHS - Multi Gardens,6000000.0
islamabad,3.4 Crore,"G-13, Islamabad",5.0,5.0,4 Marla,2540 Sun Facing proper double unit House for Sale G-13/4,34000000.0,4.0,G-13,Islamabad,8500000.0
islamabad,2.5 Crore,"D-17, Islamabad",6.0,6.0,6 Marla,Pine Villas Phase 3 Double Unit For Sale,25000000.0,6.0,D-17,Islamabad,4166666.67
islamabad,1.3 Crore,"D-17, Islamabad",2.0,2.0,4.3 Marla,2 Bed Apartment For Sale In D17 Islamabad,13000000.0,4.3,D-17,Islamabad,3023255.81
islamabad,3.4 Crore,"G-13, Islamabad",4.0,4.0,4 Marla,2540 Proper Double Unit House for Sale Prime Location G-13/4,34000000.0,4.0,G-13,Islamabad,8500000.0
islamabad,2.6 Crore,"MPCHS - Block F, MPCHS - Multi Gardens",4.0,6.0,5 Marla,A+ Construction House 60 Feet Road Corner,26000000.0,5.0,MPCHS - Block F,MPCHS - Multi Gardens,5200000.0
islamabad,3.15 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",4.0,6.0,8 Marla,Brand New Double Storey Top Notch Location,31500000.0,8.0,MPCHS - Block C,MPCHS - Multi Gardens,3937500.0
islamabad,4.4 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",6.0,6.0,10 Marla,Slightly Used Corner Category House Solar System Installed,44000000.0,10.0,MPCHS - Block C,MPCHS - Multi Gardens,4400000.0
islamabad,3.65 Crore,"MPCHS - Block C, MPCHS - Multi Gardens",5.0,6.0,8 Marla,Top Notch Location 2nd To Main Double Road House For Sale,36500000.0,8.0,MPCHS - Block C,MPCHS - Multi Gardens,4562500.0
