city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
karachi,5.9 Crore,"Naya Nazimabad - Block A, Naya Nazimabad",4.0,6.0,160 Sq. Yd.,160Sq. Yds. Villa,59000000.0,6.33,Naya Nazimabad - Block A,Naya Nazimabad,9320695.1
karachi,50 Crore,"DHA Phase 6, DHA Defence",4.0,5.0,"1,000 Sq. Yd.",Pair (500+500) Sq. Yds Brand New Bungalows For Sale in Phase 6 DHA Karachi,500000000.0,39.54,DHA Phase 6,DHA Defence,12645422.36
karachi,25 Crore,"DHA Phase 8, DHA Defence",7.0,7.0,500 Sq. Yd.,COMFORTS OF A MODERN LIFESTYLE 500 Yards Bungalow For Sale in DHA Phase 8 Karachi,250000000.0,19.77,DHA Phase 8,DHA Defence,12645422.36
karachi,2.65 Crore,"PECHS Block 2, PECHS",3.0,3.0,150 Sq. Yd.,Portion For Sale,26500000.0,5.93,PECHS Block 2,PECHS,4468802.7
karachi,1.75 Crore,"PECHS Block 2, PECHS",3.0,3.0,111 Sq. Yd.,Portion For Sale,17500000.0,4.39,PECHS Block 2,PECHS,3986332.57
karachi,5.5 Crore,"Shaheed Millat Road, Karachi",3.0,3.0,194 Sq. Yd.,Flat For Sale In Shaheed Millat Road,55000000.0,7.67,Shaheed Millat Road,Karachi,7170795.31
karachi,2.85 Crore,"Khalid Bin Walid Road, Karachi",3.0,3.0,167 Sq. Yd.,Flat Available For Sale Khalid Bin Waleed,28500000.0,6.6,Khalid Bin Walid Road,Karachi,4318181.82
karachi,3.55 Crore,"PECHS Block 2, PECHS",3.0,3.0,144 Sq. Yd.,First Floor Portion For Sale,35500000.0,5.69,PECHS Block 2,PECHS,6239015.82
karachi,24 Crore,"DHA Phase 4, DHA Defence",4.0,5.0,"1,000 Sq. Yd.",Defence 1000 Yards Bungalow For Sale,240000000.0,39.54,DHA Phase 4,DHA Defence,6069802.73
karachi,87 Lakh,"Bahria Town - Precinct 19, Bahria Town Karachi",2.0,2.0,106 Sq. Yd.,Exclusive Offer: Modern Apartment For Sale | Precinct 19 Bahria Town,8700000.0,4.19,Bahria Town - Precinct 19,Bahria Town Karachi,2076372.32
karachi,2 Crore,"PECHS Block 2, PECHS",2.0,3.0,106 Sq. Yd.,Upper Portion For Sale,20000000.0,4.19,PECHS Block 2,PECHS,4773269.69
