city,price,location,beds,baths,size,title,price_pkr,size_marla,neighbourhood,area,price_per_marla
islamabad,1.3 Arab,"F-6, Islamabad",6.0,6.0,5 Kanal,5 Kanal | Corner House | For Sale | Prime Location | F-6 Islamabad,1300000000.0,100.0,F-6,Islamabad,13000000.0
islamabad,32 Crore,"F-7/4, F-7",5.0,5.0,1.3 Kanal,MARGALLA FACING CDA TRANSFER HOUSE FOR SALE IN PRIME VIP LOCATION,320000000.0,26.0,F-7/4,F-7,12307692.31
islamabad,70 Lakh,"Gulberg Greens, Gulberg",1.0,1.0,2.4 Marla,High Rental Income & Best Living Place In Gulberg Green Islamabad,7000000.0,2.4,Gulberg Greens,Gulberg,2916666.67
islamabad,1.85 Crore,"Gulberg Heights, Gulberg Greens",2.0,2.0,6.2 Marla,"Exclusive Investor's Dream | Prime 2 BHK (1400 Sqft) | Gulberg Heights, Gulberg Greens | HIGH YIELD @ 150k/Month Rent",18500000.0,6.2,Gulberg Heights,Gulberg Greens,2983870.97
islamabad,42 Lakh,"Zaraj Housing Scheme, Islamabad",1.0,1.0,1.6 Marla,"Studio Apartment For Sale In Zaraj Housing Scheme , ISB",4200000.0,1.6,Zaraj Housing Scheme,Islamabad,2625000.0
islamabad,16 Crore,"DHA Defence Phase 5, DHA Defence",5.0,6.0,2.5 Kanal,RAK PROPERTIES OFFERS 2.5 Kanal House For Sale In Dha Phase 5 Islamabad,160000000.0,50.0,DHA Defence Phase 5,DHA Defence,3200000.0
islamabad,86 Lakh,"MPCHS - Multi Gardens, B-17",2.0,2.0,4.1 Marla,2 BHK Flat for sale in B-17 Islamabad at reasonable price.,8600000.0,4.1,MPCHS - Multi Gardens,B-17,2097560.98
islamabad,48 Lakh,"B-17, Islamabad",1.0,1.0,2.1 Marla,My Own One Bedroom Flat For Sale In Green Height B-17 Islamabad At Reasonable Price In Block A,4800000.0,2.1,B-17,Islamabad,2285714.29
islamabad,12.5 Crore,"DHA Defence Phase 2, DHA Defence",6.0,6.0,1 Kanal,DHA Phase 2 One Kanal Corner House For Sale At Ideal Location,125000000.0,20.0,DHA Defence Phase 2,DHA Defence,6250000.0
islamabad,10.5 Crore,"Emaar Canyon Views, Islamabad",6.0,5.0,1.5 Kanal,Emaar canyon views 1.5 kanal villa for sale dha 5 sector E Islamabad.,105000000.0,30.0,Emaar Canyon Views,Islamabad,3500000.0
islamabad,6.5 Crore,"G-13/2, G-13",5.0,5.0,8 Marla,G-13/2 Brand New Bungalow (30x60),65000000.0,8.0,G-13/2,G-13,8125000.0
